pbindaff,nha,mwt,PDB
5.82,39,608.446,11gs
7.57,23,341.29,1a0q
6.40,38,552.53,1a1c
6.00,38,552.53,1a1e
9.89,23,384.536,1a42
8.00,31,428.416,1a4k
6.66,28,440.212,1a4r
5.92,42,614.82,1a4w
9.70,67,941.138,1a7x
5.52,17,248.196,1a8i
7.85,60,847.054,1a94
5.70,6,90.172,1a99
6.92,42,597.784,1a9m
8.40,41,578.724,1aaq
5.42,11,164.156,1abf
6.74,19,266.262,1add
5.36,22,303.448,1adl
6.00,10,168.04,1ado
3.10,17,244.206,1af2
1.82,23,342.296,1af6
6.62,31,502.148,1afk
6.28,31,502.148,1afl
12.00,44,646.612,1agm
2.50,12,167.136,1ai4
4.09,7,94.108,1ai7
4.82,29,452.046,1aid
5.92,44,612.618,1aj6
3.87,20,301.186,1aj7
2.63,13,180.138,1ajn
7.72,41,574.682,1ajv
7.91,40,538.622,1ajx
6.52,12,181.232,1alw
4.54,27,424.186,1amw
5.82,11,164.156,1apb
9.00,36,522.632,1apv
6.28,23,338.442,1atl
4.05,71,989.176,1awi
3.13,15,221.21,1ax0
3.20,12,180.156,1axz
7.12,25,379.534,1b05
6.70,34,473.612,1b0h
7.39,33,455.544,1b11
7.03,31,437.582,1b1h
4.54,27,391.542,1b2h
7.10,27,407.586,1b32
6.60,31,503.156,1b38
6.89,29,413.53,1b3f
6.70,27,389.542,1b3g
6.21,30,429.604,1b3h
5.89,23,333.438,1b3l
7.28,30,423.556,1b40
5.28,26,373.5,1b46
5.46,26,377.516,1b4h
5.23,27,390.466,1b4z
7.37,25,363.464,1b51
7.12,26,377.49,1b52
7.40,28,492.004,1b55
6.59,31,439.556,1b58
6.01,25,363.49,1b5h
7.05,27,390.492,1b5i
7.43,28,404.518,1b5j
7.82,26,375.516,1b6h
7.92,49,687.834,1b6j
8.74,49,680.852,1b6k
8.30,39,545.674,1b6l
8.40,43,597.762,1b6m
1.30,10,146.15,1b74
10.52,20,281.28,1b8n
7.85,26,373.448,1b8y
7.70,60,847.054,1bai
6.85,10,150.13,1bap
8.70,8,149.106,1bcd
6.34,39,534.686,1bdq
8.57,25,364.766,1bgq
4.38,45,632.618,1bhf
6.84,31,469.622,1bhx
9.34,21,346.462,1bn1
9.89,23,372.456,1bn3
9.31,22,362.462,1bn4
10.00,23,374.472,1bnn
9.49,22,370.51,1bnq
9.80,24,390.472,1bnt
9.70,22,380.506,1bnu
8.77,25,404.524,1bnv
9.08,19,338.47,1bnw
5.40,20,306.168,1bp0
5.22,24,336.12,1bq4
3.22,23,311.288,1br6
9.30,54,758.914,1bv7
8.96,54,758.914,1bv9
7.60,54,758.914,1bwa
8.42,62,824.922,1bwb
7.38,43,625.668,1bxq
3.40,31,502.174,1bxr
5.00,27,420.258,1byk
4.92,29,427.272,1bzc
6.77,68,981.908,1bzh
4.66,20,299.138,1bzj
8.34,24,360.25,1bzy
7.63,22,291.34,1c1r
8.25,22,291.34,1c1u
7.64,25,334.394,1c1v
3.68,12,277.032,1c3x
10.37,36,582.5,1c4u
10.80,39,529.656,1c4v
6.96,22,343.342,1c5c
4.70,13,303.144,1c5n
3.49,9,121.162,1c5o
4.68,9,121.162,1c5p
6.36,13,303.144,1c5q
6.00,12,177.252,1c5s
4.10,12,178.244,1c5t
6.68,13,303.144,1c5x
4.20,12,178.244,1c5y
4.01,9,121.162,1c5z
10.30,48,652.814,1c70
4.85,18,246.178,1c83
5.00,19,257.196,1c84
4.70,18,269.236,1c86
4.20,18,269.236,1c87
5.29,18,269.262,1c88
7.72,36,502.604,1caq
6.35,15,206.19,1cbx
4.74,9,121.162,1ce5
4.96,9,131.174,1cea
6.00,11,157.21,1ceb
2.89,22,320.876,1cet
6.87,45,624.748,1cgl
7.00,31,501.14,1ch8
9.43,19,325.466,1cil
8.82,17,297.414,1cim
8.73,18,311.44,1cin
7.44,36,502.604,1ciz
7.72,26,389.46,1cnw
7.37,22,332.406,1cnx
7.85,33,479.578,1cny
6.66,16,239.32,1cps
6.52,37,587.244,1ct8
4.52,16,230.222,1ctt
11.92,17,246.222,1ctu
6.00,28,440.186,1d2e
9.09,38,593.606,1d3d
7.39,39,545.732,1d3p
9.22,51,699.89,1d4k
8.77,43,616.814,1d4l
6.30,27,361.46,1d4p
11.10,42,602.664,1d4y
1.82,10,148.072,1d5r
6.17,28,380.448,1d6v
5.96,37,527.612,1d6w
3.60,6,124.234,1d7i
9.11,33,476.58,1d9i
9.26,30,416.622,1db1
6.70,34,469.422,1dfo
6.55,33,452.44,1dhj
10.66,60,830.968,1dif
6.49,20,304.236,1dl7
9.55,40,536.658,1dmp
8.00,24,360.25,1dqn
11.05,22,338.168,1dqx
7.40,10,150.13,1drj
6.82,10,150.13,1drk
4.82,24,385.138,1dud
11.80,17,289.242,1duv
4.36,19,258.33,1dy4
6.10,12,166.222,1dzk
5.89,18,251.296,1e1x
4.94,18,252.268,1e2k
4.29,18,252.268,1e2l
4.34,28,391.552,1e3v
8.41,12,488.568,1e4h
