pbindaff,gauss1,gauss2,repulsion,hydrophobic,hydrogenbonding,nacttors,ninacttors,PDB
5.0000,58.3290,651.6790,7.0499,0.0000,9.6601,3.0000,1.0000,2vxn
8.4800,115.0032,2074.9990,5.9163,51.1223,6.2186,12.0000,4.0000,2hs1
13.0000,90.6944,1172.0375,3.6386,31.8881,6.2904,5.0000,0.0000,2f01
9.0800,138.4878,2129.4734,4.2914,69.0943,3.1171,11.0000,8.0000,3a2o
8.1900,94.5123,1348.4055,15.2554,21.7879,8.0655,12.0000,2.0000,2h5d
6.3000,148.3349,2236.9907,7.7879,17.5409,9.2839,42.0000,5.0000,3ql9
3.0500,99.1646,1210.4326,16.9877,32.1300,6.5541,9.0000,0.0000,1gvk
9.0000,148.6043,2254.7908,5.2858,51.9261,8.8231,22.0000,1.0000,1gvu
6.1900,61.7239,647.9368,3.1879,8.4971,6.1204,1.0000,5.0000,2bt9
10.0000,146.5634,2051.6858,4.9309,65.4640,5.5933,10.0000,7.0000,1bxo
6.7000,34.3799,509.0671,4.3211,0.0000,6.7039,1.0000,0.0000,1nki
8.3700,136.6965,2382.5115,6.0923,67.6272,4.4664,13.0000,4.0000,2nmz
4.0600,106.9405,1339.1002,8.8000,0.0000,13.4969,4.0000,7.0000,8a3h
7.5500,77.4272,898.2174,4.6639,5.9991,8.1409,2.0000,4.0000,1v0l
6.4300,118.0591,2068.9155,5.1533,0.0000,5.2934,16.0000,6.0000,2bzz
7.1000,80.6475,1009.8528,7.5488,12.0583,3.2382,8.0000,1.0000,2fou
6.9600,130.6963,2001.1245,5.0632,53.9354,5.1058,19.0000,7.0000,1gvw
7.2200,143.0350,2610.6467,4.0660,67.6450,8.5408,29.0000,2.0000,1gvx
6.8500,118.0836,1467.8964,5.5071,34.6415,9.7348,20.0000,3.0000,1lkk
5.0000,88.7246,1408.5873,4.2059,46.6756,3.6868,30.0000,5.0000,1oai
13.0000,90.7561,1172.0026,3.6443,31.9649,6.2835,5.0000,0.0000,2gh7
10.5900,120.7729,2074.9419,4.2293,50.7249,4.7639,13.0000,4.0000,3djk
6.4000,49.7335,784.2443,2.4485,27.0236,1.7389,4.0000,1.0000,2nno
3.6100,101.9118,1104.2114,2.7688,41.6667,1.5215,3.0000,2.0000,3sk2
9.8200,116.0667,2013.6781,3.7110,53.3070,4.8735,12.0000,4.0000,3nu3
9.7400,171.0266,2560.9905,6.6565,88.9759,7.2409,22.0000,1.0000,1nh0
5.1000,79.0523,969.7733,5.0770,0.0000,7.3606,2.0000,5.0000,1v0k
6.0500,53.8364,829.7793,2.5339,25.2987,1.7035,4.0000,2.0000,2nns
6.2800,121.5979,1421.7815,8.4526,0.0000,14.2981,7.0000,9.0000,1w3l
5.1000,86.2025,969.1389,5.3709,5.9109,8.2078,2.0000,4.0000,1od8
6.5200,157.0665,2570.0581,5.6163,67.8744,10.1254,29.0000,7.0000,3bva
8.6600,147.7216,2403.4580,4.7013,85.1987,6.1019,13.0000,4.0000,3d1x
8.2200,145.8275,2403.9736,4.7405,85.9605,6.7900,13.0000,4.0000,3d1y
8.3000,125.6288,2088.1367,7.1148,52.5051,6.6366,12.0000,4.0000,3d20
4.7700,102.6243,1444.7809,5.8958,11.4700,10.6790,24.0000,6.0000,3iqu
5.1000,81.9548,971.2399,4.8344,0.0000,8.0685,2.0000,5.0000,1v0m
9.7400,121.5986,2119.7000,4.2558,53.4267,4.5395,13.0000,4.0000,3dk1
5.1900,90.3387,1119.8420,6.9156,3.1896,12.0019,4.0000,6.0000,1ocq
10.3900,144.5303,2254.4668,4.3119,80.4793,4.2383,9.0000,6.0000,1kzk
3.9300,118.9200,1873.8787,6.9112,0.0000,11.9098,14.0000,17.0000,1h5v
6.2200,110.8602,1244.8063,16.1317,23.8949,6.8795,10.0000,1.0000,1kdv
6.3800,112.8949,1353.3607,18.1556,17.9084,7.3293,9.0000,1.0000,1kdy
7.5500,75.8973,886.7253,4.4285,5.9706,8.0776,2.0000,4.0000,1v0n
6.2800,157.1476,2582.7229,5.6945,63.8245,10.7012,29.0000,7.0000,2aog
5.7000,156.9205,2589.0833,6.2751,72.2135,10.5320,29.0000,7.0000,2avm
8.8500,131.2005,2351.3142,3.6755,81.7574,4.7035,12.0000,5.0000,2avo
7.5700,141.6149,2356.4414,4.0666,81.6535,5.4495,12.0000,5.0000,2avs
8.8900,118.1199,1960.0756,5.1044,46.7861,6.3095,12.0000,4.0000,2idw
6.5100,61.8080,849.0304,5.9242,1.0000,11.7307,6.0000,8.0000,2jdh
6.5400,61.8858,855.1793,5.9093,1.0000,11.9147,7.0000,8.0000,2jdk
8.3700,122.6883,2276.3875,3.0785,68.0944,4.4637,13.0000,1.0000,2nmy
7.5200,54.9594,855.5157,2.5672,31.7693,1.7502,6.0000,2.0000,2nnv
6.5000,52.6861,682.5302,2.4534,18.7648,1.5941,1.0000,1.0000,2weg
8.6300,96.6588,1268.7922,5.2540,36.4651,2.9842,5.0000,0.0000,3f17
8.0000,54.7226,741.3943,3.5561,5.1285,3.8062,2.0000,2.0000,3hs4
9.1000,123.5990,2082.8098,4.2507,44.2374,5.3134,12.0000,3.0000,2qd7
3.7700,81.3109,1211.0679,16.5833,19.1327,10.7178,10.0000,1.0000,1mpl
6.2400,101.4457,1231.1718,15.0584,17.1833,11.0552,6.0000,2.0000,1ym1
7.6800,45.2678,465.6907,3.7184,0.0000,4.6638,2.0000,2.0000,2yln
4.7000,70.7637,745.1876,2.6929,6.7831,3.8283,1.0000,2.0000,3nkk
7.4000,67.3212,1086.4919,6.4728,13.2570,6.4841,6.0000,2.0000,3f18
7.1900,63.5619,982.6478,5.2824,11.1574,5.8829,4.0000,1.0000,3f19
4.1000,118.9299,1610.2411,3.8920,0.0000,8.2679,16.0000,20.0000,1gwm
3.4900,45.9975,543.3562,1.9164,4.5127,3.0976,1.0000,1.0000,1utn
2.2700,41.0500,572.6500,0.7622,6.2835,1.3651,2.0000,1.0000,1uto
7.5500,66.4985,1225.4441,5.8139,21.1185,2.9138,5.0000,1.0000,2fov
3.5200,47.5995,608.3896,4.1288,0.0000,4.1786,3.0000,0.0000,2j27
6.8200,86.0675,1133.6215,4.7564,23.8305,5.2738,9.0000,5.0000,3dnj
4.9300,99.5274,1590.7316,6.9073,12.1708,11.2527,25.0000,8.0000,3iqj
2.0000,55.7531,673.0040,1.8564,37.4906,2.5763,3.0000,0.0000,2hds
8.2300,77.8549,1135.0024,6.1651,13.5050,6.0347,6.0000,3.0000,3f16
9.3000,117.7156,1984.7715,4.7268,54.8498,4.4168,12.0000,4.0000,3nu6
7.4200,56.8355,881.0795,2.7811,28.1512,1.7164,4.0000,2.0000,3ryy
10.3500,148.4625,2351.1763,6.1132,59.4190,6.2180,9.0000,2.0000,3i6o
3.7700,57.9555,544.2102,4.8775,0.0000,6.0069,3.0000,0.0000,2v2h
2.5500,30.9638,578.2144,3.0962,26.1958,3.0916,3.0000,3.0000,3b3s
7.2500,122.5353,1539.4592,6.2806,21.3538,9.9536,13.0000,4.0000,1jet
7.1900,104.3888,1437.7424,13.0217,25.8164,5.5619,13.0000,1.0000,1me3
6.8400,103.3793,1506.4253,11.5084,27.2681,4.6941,12.0000,1.0000,1me4
5.4000,58.7872,837.9395,13.1101,0.0000,6.9853,5.0000,3.0000,1nym
5.9200,88.7855,1110.2179,5.4798,0.0000,6.8365,6.0000,3.0000,1o0h
5.1000,57.9122,689.1844,3.1154,0.0000,2.6092,6.0000,1.0000,1o0o
6.4600,90.3245,801.7684,5.3639,22.8494,6.2334,0.0000,2.0000,1r5y
4.3000,91.9015,1139.9530,7.3068,0.0000,11.9101,4.0000,6.0000,1w3k
3.9700,51.3302,947.0316,3.4329,24.4804,4.8466,4.0000,1.0000,2flh
5.3600,47.8367,722.4149,2.5672,23.6040,1.7009,3.0000,2.0000,2nng
8.3700,140.6208,2388.5432,3.6385,77.0692,4.6771,13.0000,4.0000,2nnp
8.3400,122.8000,2159.7415,5.1478,44.9641,5.7690,12.0000,3.0000,2qci
6.8900,71.2589,964.9802,5.6185,0.0000,10.0580,1.0000,5.0000,2vk2
5.0200,159.5880,2007.7428,9.6001,0.0000,14.5868,8.0000,3.0000,2xbp
4.7400,76.2960,900.9329,4.8346,0.0000,7.6684,7.0000,6.0000,2xg3
8.0000,152.0656,2425.3977,4.2410,85.7632,4.8975,13.0000,4.0000,3cyx
4.6600,96.5712,1002.6151,8.4389,10.2072,10.7642,5.0000,3.0000,3ddf
8.3000,184.9310,2241.9775,10.8970,48.7258,12.5368,8.0000,5.0000,3hvi
5.1800,101.5595,1442.4417,5.9279,11.3717,10.9141,24.0000,6.0000,3iqv
6.3400,102.6276,1300.1730,11.3795,16.2580,3.6982,10.0000,0.0000,3iut
7.7700,104.2488,1496.5869,8.7692,0.0000,13.1868,5.0000,3.0000,3mi2
8.8200,118.5132,1988.7617,3.5346,55.8747,4.4873,12.0000,4.0000,3nu4
7.0700,55.7190,853.8201,2.8265,25.0969,1.7453,3.0000,2.0000,3ryv
3.5800,64.6574,646.5906,7.7239,3.6763,11.1394,0.0000,4.0000,3dx1
8.7000,121.3501,2076.3772,7.3074,53.7649,6.5977,12.0000,4.0000,2f8g
8.3100,110.4891,2046.5779,6.9467,47.9968,6.2775,12.0000,4.0000,2hs2
7.3200,132.3584,2282.5657,4.8764,87.9904,6.0506,13.0000,4.0000,3pww
6.4900,82.6749,1093.1274,2.7561,106.2004,0.0000,2.0000,0.0000,3s0b
7.6800,68.8926,878.6593,7.4817,14.7472,2.3724,5.0000,2.0000,2arm
5.0100,79.2573,1181.2668,14.5105,2.0770,8.6317,7.0000,3.0000,3mxs
5.3600,153.6931,1846.2980,11.1596,0.0000,15.0133,8.0000,2.0000,3ncq
7.0500,53.0203,704.7049,1.1167,47.1001,0.0000,6.0000,3.0000,3s0d
6.8200,122.6497,1751.7413,5.4947,25.0270,11.1220,16.0000,3.0000,1jeu
4.3000,111.8005,1628.2281,4.5011,31.2328,6.7919,29.0000,2.0000,1mfg
2.6800,59.3048,809.2028,6.0985,0.0000,11.3189,3.0000,3.0000,1o8b
8.7700,65.3682,574.1217,3.6412,9.5488,3.6246,2.0000,1.0000,1qft
10.0700,135.1499,2365.2727,3.7570,81.9417,5.3697,12.0000,5.0000,1sdu
6.6400,101.3551,1397.0295,10.4678,0.0000,15.6229,8.0000,3.0000,1tmm
7.8200,72.1743,954.6387,14.3560,9.3988,10.1802,7.0000,3.0000,1yly
1.0100,45.4109,565.8838,2.7808,1.0000,4.6949,3.0000,1.0000,2a31
3.7000,85.8652,1058.6132,4.1875,25.6684,3.5757,8.0000,0.0000,2bvr
10.5200,122.8952,2078.2756,8.5398,48.7161,6.1133,12.0000,4.0000,2f81
8.0500,109.9192,1539.7971,1.3551,12.5473,0.1633,6.0000,3.0000,2jkh
