pbindaff,nha,mwt,PDB
2.00,14,185.138,3g2y
2.00,11,145.088,3pce
2.05,25,382.328,1jfh
2.06,9,141.154,1qq9
2.12,12,179.158,3gv9
2.16,11,180.008,4tim
2.17,18,234.14,3gqz
2.21,11,155.084,1x8d
2.22,28,378.196,1icj
2.22,25,375.098,1m0n
2.22,11,156.092,2aac
2.23,12,162.096,1ajp
2.26,8,134.99,1ew8
2.27,9,113.114,1uto
2.28,16,225.14,1ps3
2.28,11,163.04,3ip8
2.30,15,224.192,3dyo
2.30,11,145.088,3pcg
2.31,24,363.088,1m0o
2.35,23,328.184,1qi0
2.35,15,216.206,3gtc
2.36,13,172.136,3g2z
2.37,23,337.152,6rnt
2.38,36,535.284,3f6e
2.44,7,91.068,1oba
2.44,17,230.172,2i2b
2.47,8,112.04,1tok
2.47,10,125.124,1utl
2.48,9,116.07,1gyx
2.50,12,162.096,1ai4
2.51,17,233.128,3g30
2.52,27,416.122,3bf1
2.52,14,185.138,3gr2
2.54,55,772.464,2qv4
2.55,31,491.102,1kf0
2.57,23,328.184,1gwv
2.57,11,145.114,3kgp
2.59,16,211.128,3gvb
2.60,11,149.13,2r5a
2.63,13,174.09,1ajn
2.66,31,491.102,3a1e
2.68,14,222.044,1o8b
2.69,18,254.16,3elc
2.70,18,292.036,2fzc
2.70,10,130.122,3bra
2.70,17,222.13,3gsg
2.72,10,176.114,1pfu
2.72,9,147,2rkd
2.74,21,296.168,2qwb
2.74,11,149.13,2vyt
2.75,6,104.09,1rql
2.77,13,209.026,2bet
2.80,8,101.104,2bza
2.81,21,314.13,3djx
2.89,22,295.676,1cet
2.89,11,180.008,1iih
2.89,6,80.04,1ugp
2.89,17,222.13,3g31
2.90,19,266.21,3c2u
2.92,13,185.068,2fw6
2.92,13,185.068,2fwp
2.93,8,101.104,1tng
2.96,18,254.2,1f4e
2.96,7,97.074,2br6
2.96,20,277.258,3g34
2.96,11,139.108,3imc
2.97,59,771.526,2hw2
2.98,34,483.268,3ckb
2.98,25,393.074,3djq
3.00,13,187.084,1ecq
3.00,9,126.118,1hqg
3.00,13,184.102,1ws4
3.00,6,126.92,2q8h
3.00,9,150.99,2rka
3.00,7,102.072,2v3u
3.00,12,156.09,3ime
3.01,9,113.114,1utm
3.03,10,144.082,1ogd
3.03,13,184.102,1ws5
3.03,7,91.068,2ha3
3.05,14,221.036,1uj5
3.05,14,222.044,1uj6
3.08,8,109.084,1y1z
3.10,13,191.1,1ec9
3.10,12,156.136,1pu7
3.10,12,156.136,1pu8
3.10,55,772.464,3baj
3.10,11,142.132,3buf
3.11,12,160.08,3c2r
3.13,15,211.13,1ax0
3.15,14,197.14,1e6q
3.18,20,296.248,1lbk
3.18,42,611.282,1ro7
3.18,12,154.142,3bug
3.20,12,173.1,1axz
3.21,26,377.172,1s5z
3.22,23,304.232,1br6
3.22,13,186.128,1e6s
3.22,6,124.058,1ew9
3.22,44,617.38,1k1y
3.22,11,140.09,1tog
3.22,16,239.102,1zc9
3.22,9,127.074,2ri9
3.23,15,224.192,1px4
3.25,9,116.122,1v2j
3.26,11,184.046,5yas
3.27,25,356.308,3ioe
3.28,16,202.192,1bcu
3.28,23,335.658,3d52
3.30,6,81.048,1d7j
3.30,13,205.036,1phw
3.30,10,167.016,1tpw
3.31,23,293.254,1pzp
3.32,22,322.108,1pzo
3.32,9,235.968,2wk6
3.33,32,512.1,1jlr
3.33,14,224.044,2pnc
3.35,12,162.08,3c2o
3.36,18,247.228,2vc7
3.37,9,120.104,1tnh
3.37,9,116.122,1v2u
3.37,21,277.194,3d8z
3.38,22,340.076,2fzg
3.39,11,140.09,1toj
3.40,31,494.11,1bxr
3.40,25,316.21,1ikt
3.40,14,203.178,1jt1
3.40,6,72.06,1l83
3.40,31,495.092,1m83
3.40,11,154.102,1uz4
3.40,6,72.06,220l
3.40,14,222.044,2vvp
3.40,22,289.204,3d8y
3.41,9,150.99,2v2c
3.42,22,323.106,2qtn
3.42,20,279.16,2sim
3.42,12,192.044,2w08
3.42,19,275.26,3iob
3.46,16,251.088,1moq
3.46,27,416.122,2zfi
3.46,44,644.258,3dla
3.48,40,590.48,3gx0
3.49,9,116.122,1c5o
3.49,23,328.184,1gzc
3.49,8,101.104,1utn
3.51,33,466.26,1gz9
3.51,43,597.358,2r0h
3.52,10,133.124,1jys
3.52,9,150.99,2j27
3.54,31,495.092,1vjd
3.55,30,414.358,1v2r
3.55,21,319.088,2cle
3.55,21,319.088,2clf
3.55,20,279.16,2qwc
3.56,24,372.076,2hrm
3.57,19,239.178,1h46
3.58,31,495.092,1vjc
3.58,9,128.108,3dx1
3.59,10,133.124,1nli
3.59,23,337.152,2gsu
3.59,23,328.184,2nn8
3.60,6,116.17,1d7i
3.60,25,384.086,2fzk
3.60,32,445.288,2qpu
3.60,58,776.634,2wp1
3.60,10,128.106,3g0i
3.60,9,126.118,3jdw
3.62,7,100.082,1pb9
3.64,13,176.098,1gyy
3.64,17,246.18,2azr
3.64,7,122.98,2rk8
3.66,27,416.122,2qv7
3.66,16,205.174,2v00
3.66,16,202.182,3buh
3.66,12,162.096,3pcn
3.68,12,277.032,1c3x
3.68,27,390.392,3ioc
3.68,18,258.216,3isj
3.69,19,259.19,2a8g
3.69,22,320.144,3clp
3.69,21,282.192,3d7b
3.70,31,495.092,1gz3
3.70,31,495.092,1gz4
3.70,21,314.104,1loq
3.70,9,150.99,1pdz
3.70,15,196.11,1wht
3.70,27,393.814,2bvr
3.70,10,129.124,2fx6
3.71,23,337.152,2vfk
3.71,10,163,3fj7
3.71,18,235.168,3g32
3.72,13,174.09,1ai5
3.72,13,185.068,1grp
3.72,36,551.158,2am4
3.72,35,492.254,2r23
3.72,10,137.12,4tln
3.73,11,180.008,3fjg
3.74,9,116.122,1f5k
3.75,26,349.24,2pyi
3.75,22,298.192,3d6p
3.76,22,294.202,3d6q
3.77,9,150.99,2v2h
3.79,10,164.008,2clk
3.80,6,75.068,1li6
3.80,20,296.114,1nje
3.80,14,276.04,2hb1
3.81,28,365.254,2hu6
3.83,31,495.092,1r0x
3.83,9,139.154,2osf
3.84,9,116.122,1j16
3.84,8,101.104,1utj
3.85,20,279.16,1n1t
3.85,14,192.132,2wzs
3.87,20,289.09,1aj7
3.87,26,408.186,1v16
3.89,22,339.068,1m0q
3.89,12,157.098,2ctc
3.90,8,106.112,1avn
3.90,59,793.59,1slg
3.90,15,215.096,2gvv
3.90,19,258.24,2rkm
3.90,18,222.196,2vuk
3.90,21,287.248,2wor
3.90,21,287.248,2wos
3.92,19,257.19,1pr5
3.93,57,868.718,1h5v
3.93,20,276.198,2a5b
3.93,31,495.092,2cbz
3.94,26,408.186,1v1m
3.94,23,328.184,1z3t
3.94,15,203.15,2v3d
3.95,39,606.292,3fsj
3.96,22,326.114,1mrs
3.96,24,355.256,1x9d
3.96,10,129.124,2fpz
3.96,38,509.286,2wec
3.98,26,408.186,1v11
3.98,10,156.054,3b3c
3.99,25,338.212,2g8r
4.00,46,681.494,1e5j
4.00,8,107.086,1lgw
4.00,10,128.106,1nu3
4.00,11,137.134,1tni
4.00,31,511.162,1wc1
4.00,10,143.058,2qrl
4.00,10,130.08,2rin
4.00,18,232.176,2whp
4.00,31,491.102,3a1c
4.00,20,281.15,3ijh
4.01,9,116.122,1c5z
4.01,30,414.358,1v2w
4.01,39,600.244,3fzn
4.02,16,225.14,2wvz
4.03,24,328.192,2qrm
4.03,16,251.062,3bxh
4.04,27,416.122,1hi5
4.04,7,89.068,1li2
4.04,27,416.122,2c02
4.05,20,296.248,1r4w
4.05,11,140.09,1toi
4.05,13,172.09,1tuf
4.05,6,88.02,2rk7
4.06,21,318.178,2clh
4.06,25,348.224,8a3h
4.07,11,171.02,1hyo
4.08,15,199.154,1n2v
4.08,8,136.09,2rke
4.09,7,89.068,1ai7
4.09,21,314.104,1o0n
4.10,12,174.212,1c5t
4.10,20,276.198,1odj
4.10,37,528.892,2bvs
4.10,19,265.254,3gk1
4.10,30,436.402,3iod
4.11,23,338.134,1p19
4.11,23,328.184,1z3v
4.11,15,192.166,2exm
4.11,22,294.202,3d6o
4.12,27,416.122,3a1d
4.12,28,362.22,3ivc
4.13,30,414.358,1v2q
4.15,14,203.178,1m2x
4.15,28,392.168,1q91
4.15,17,232.188,2toh
4.15,31,495.092,2vt3
4.15,13,186.128,3d51
4.16,21,295.28,3d3x
4.17,9,116.122,1v2s
4.18,10,163.026,2qfu
4.19,27,415.114,1hi3
4.19,15,216.196,3cft
4.19,25,324.294,3cr5
4.19,14,168.14,3f3a
4.20,12,174.212,1c5y
4.20,18,263.188,1c87
4.20,19,246.228,1ghw
4.20,49,686.35,2r2b
4.20,21,314.104,3djp
4.21,19,259.19,1odi
4.21,40,621.158,1yon
4.21,44,617.38,2qmj
4.22,9,150.99,1kv5
4.22,23,319.18,1pzi
4.22,12,167.12,1t5f
4.22,23,337.152,1ua4
4.22,12,167.104,3f80
4.23,11,156.118,2jke
4.23,13,179.13,2jkp
