pbindaff,nha,mwt,PDB
2.00,22,385.024,3c2f
2.00,12,175.252,2r58
2.00,14,194.21,3g2y
2.05,25,402.488,1jfh
2.06,9,149.218,1qq9
2.07,16,217.228,3ao4
2.12,22,331.196,2w8w
2.17,18,246.236,3gqz
2.21,11,162.14,1x8d
2.22,11,164.156,2aac
2.22,25,390.218,1m0n
2.22,28,414.484,1icj
2.23,14,202.212,2igv
2.23,17,296.12,3ao5
2.23,12,167.136,1ajp
2.23,12,178.14,3i3b
2.26,10,138.118,3ao1
2.26,8,137.006,1ew8
2.28,11,170.096,3ip8
2.30,15,238.304,3dyo
2.30,11,151.136,3pcg
2.31,24,378.208,1m0o
2.35,15,226.286,3gtc
2.36,13,179.192,3g2z
2.37,23,345.216,6rnt
2.38,36,555.444,3f6e
2.39,21,310.28,1f73
2.40,19,275.242,3l7b
2.44,7,104.172,1oba
2.44,20,294.216,3l7c
2.44,17,237.228,2i2b
2.46,19,276.224,3l79
2.47,10,136.212,1utl
2.47,8,114.056,1tok
2.48,9,121.11,1gyx
2.50,12,167.136,1ai4
2.51,17,240.184,3g30
2.52,27,424.186,3bf1
2.52,14,194.21,3gr2
2.55,31,501.182,1kf0
2.55,12,179.252,3ovn
2.57,23,342.296,1gwv
2.57,11,151.162,3kgp
2.59,16,220.2,3gvb
2.60,11,161.226,2r5a
2.62,9,122.16,3f37
2.62,9,122.16,3f38
2.63,13,180.138,1ajn
2.66,31,501.182,3a1e
2.67,20,306.328,3lvw
2.68,14,228.092,1o8b
2.69,18,261.216,3elc
2.70,7,101.08,2uyn
2.70,17,236.242,3gsg
2.72,10,184.178,1pfu
2.72,9,151.032,2rkd
2.74,11,161.226,2vyt
2.75,6,107.114,1rql
2.77,13,213.058,2bet
2.80,8,108.16,2bza
2.81,21,322.194,3djx
2.82,10,145.184,3ppr
2.84,9,153.006,3moh
2.86,52,802.452,3qx8
2.89,10,136.186,3f36
2.89,22,320.876,1cet
2.89,11,183.032,1iih
2.89,6,87.096,1ugp
2.89,15,219.278,2wpb
2.89,27,414.32,2wtx
2.89,17,236.242,3g31
2.90,19,284.354,3c2u
2.92,13,189.1,2fw6
2.92,13,189.1,2fwp
2.92,14,229.084,3k8c
2.93,8,114.208,1tng
2.94,15,221.21,2vmc
2.96,22,331.196,2w8j
2.96,7,102.114,2br6
2.96,18,268.312,1f4e
2.96,20,288.346,3g34
2.97,59,823.942,2hw2
2.98,34,504.436,3ckb
2.98,25,401.138,3djq
3.00,13,194.182,1ws4
3.00,12,161.13,3ime
3.00,6,127.928,2q8h
3.00,7,105.096,2v3u
3.00,13,192.124,1ecq
3.00,9,133.174,1hqg
3.00,9,153.006,2rka
3.01,9,122.186,1utm
3.02,13,194.182,2vmd
3.03,13,194.182,1ws5
3.03,10,150.13,1ogd
3.03,7,104.172,2ha3
3.04,31,429.456,3t1m
3.05,14,226.076,1uj5
3.05,14,228.092,1uj6
3.05,20,292.264,1f74
3.06,28,407.438,2jfh
3.07,6,88.02,3mof
3.09,12,180.156,1ugw
3.10,11,152.212,3buf
3.10,10,184.496,3f78
3.10,13,194.124,1ec9
3.10,12,164.2,1pu7
3.10,12,160.168,1pu8
3.11,12,164.112,3c2r
3.13,15,221.21,1ax0
3.14,23,332.32,2ya7
3.15,14,203.188,1e6q
3.16,11,150.212,3f34
3.16,11,150.212,3f35
3.18,12,166.238,3bug
3.18,42,630.434,1ro7
3.19,25,401.138,3dxh
3.20,12,180.156,1axz
3.21,26,387.252,1s5z
3.22,11,149.162,1tog
3.22,16,247.166,1zc9
