pbindaff,nha,mwt,PDB
9.30,9,172.958,2iw4
4.45,22,292.202,2wbg
6.08,22,292.202,2wc3
5.29,22,308.272,2wc4
6.10,28,455.062,2yay
5.14,20,297.096,2yaz
3.85,16,219.134,2yb0
4.15,22,311.202,2xg9
7.26,10,139.11,2xib
7.20,28,366.278,2xii
8.34,51,652.498,2xye
8.44,50,660.548,2xyf
6.40,38,485.354,2y8c
6.63,25,317.218,2yfe
8.12,22,325.706,2yi0
8.32,23,337.716,2yi7
3.92,55,830.366,2yim
2.78,6,74.06,2yiv
3.16,13,169.16,2ymd
7.66,23,290.236,2yme
2.92,23,328.184,3alt
2.96,23,337.152,3dhv
4.72,19,246.166,3ebo
5.91,28,385.702,3ebp
8.89,35,474.382,3ekp
10.59,38,514.402,3ekt
9.41,35,474.382,3ekv
7.96,51,658.488,3ekw
9.41,40,526.452,3ekx
9.64,51,658.488,3el1
7.17,49,627.496,3el4
7.72,40,527.46,3el5
8.40,51,658.488,3el9
5.43,10,146.056,3ng4
6.49,34,468.294,3nw3
3.48,12,161.108,3nyd
7.62,54,712.474,3o4k
6.68,16,251.062,3o75
5.68,26,353.304,3oil
6.74,26,353.304,3oim
6.36,26,352.296,3oku
6.23,26,352.296,3okv
9.19,21,304.16,3ozg
4.48,26,332.272,3p17
7.25,20,271.156,3p3r
7.59,18,369.972,3p3s
7.24,18,232.168,3p3t
9.28,57,823.454,3p8n
8.72,56,743.554,3p8o
5.74,22,302.276,3pb7
5.24,11,144.116,3pb8
6.58,12,148.12,3pb9
7.02,22,302.276,3pbb
6.44,19,306.01,3pfp
4.02,20,286.278,3po1
3.35,12,160.08,3pwk
5.33,7,102.072,3q1x
4.31,69,922.756,3q5u
7.57,39,491.394,3q6w
4.97,12,184.218,3qbc
8.77,22,305.666,3qdd
4.17,57,758.556,3qfd
6.37,18,224.16,3qlm
5.82,19,247.158,3qqs
4.82,15,224.192,3vd4
4.00,15,224.192,3vd9
2.52,12,172.092,3vdb
8.27,26,327.274,4djy
6.52,25,347.684,4dko
5.72,24,337.69,4dkp
6.60,27,379.736,4dkq
6.52,27,379.736,4dkr
4.94,25,393.074,4dmw
7.29,14,194.148,4do4
5.83,11,156.118,4do5
