pbindaff,nha,mwt,PDB
0.49,10,141.21,1w8l
0.82,9,149.218,1wkm
1.01,8,118.166,2a31
1.28,12,176.124,1f9g
1.30,10,146.15,1b74
1.36,6,87.08,1qpb
1.49,10,136.212,1tnk
1.60,13,185.22,1w8m
1.66,11,164.156,1rdj
1.72,11,152.128,2hdr
1.80,22,326.296,1ga8
1.82,23,342.296,1af6
1.82,10,148.072,1d5r
1.84,15,221.21,1rdn
1.88,10,134.196,1tnl
1.90,12,165.188,1f2p
1.91,9,131.174,1f2o
1.96,9,122.186,1tnj
2.05,25,402.488,1jfh
2.06,9,149.218,1qq9
2.06,12,178.182,1rdi
2.10,34,500.592,1njj
2.15,32,470.404,1uxb
2.21,11,162.14,1x8d
2.22,28,414.484,1icj
2.22,11,164.156,2aac
2.24,12,180.156,1rdl
2.26,8,137.006,1ew8
2.27,9,122.186,1uto
2.28,16,232.196,1ps3
2.30,32,470.404,1uxa
2.30,11,151.136,3pcg
2.31,24,378.208,1m0o
2.35,23,342.296,1qi0
2.39,31,468.588,1nwl
2.40,10,137.11,3pcb
2.44,7,104.172,1oba
2.47,10,136.212,1utl
2.48,9,121.11,1gyx
2.50,12,167.136,1ai4
2.57,23,342.296,1gwv
2.60,13,189.1,2c4v
2.63,13,180.138,1ajn
2.68,14,228.092,1o8b
2.72,10,184.178,1pfu
2.75,6,107.114,1rql
2.80,8,108.16,2bza
2.89,22,320.876,1cet
2.89,11,183.032,1iih
2.89,6,87.096,1ugp
2.92,20,336.08,2fkf
2.92,13,189.1,2fw6
2.92,13,189.1,2fwp
2.93,8,114.208,1tng
2.96,11,153.11,1ykp
2.96,7,102.114,2br6
3.00,13,192.124,1ecq
3.00,9,133.174,1hqg
3.00,20,296.27,1ux7
3.00,13,194.182,1ws4
3.01,9,122.186,1utm
3.03,13,194.182,1ws5
3.05,14,226.076,1uj5
3.05,14,228.092,1uj6
3.08,8,115.132,1y1z
3.10,17,244.206,1af2
3.10,13,194.124,1ec9
3.10,12,164.2,1pu7
3.10,12,160.168,1pu8
3.13,15,221.21,1ax0
3.15,14,203.188,1e6q
3.18,42,630.434,1ro7
3.20,12,180.156,1axz
3.21,10,170.056,6tim
3.22,23,311.288,1br6
3.22,13,192.176,1e6s
3.22,6,126.074,1ew9
3.22,44,645.604,1k1y
3.22,11,149.162,1tog
3.23,15,238.304,1px4
3.25,9,121.162,1v2j
3.26,11,184.046,5yas
3.31,23,305.35,1pzp
3.32,22,333.196,1pzo
3.33,32,519.156,1jlr
3.37,9,126.152,1tnh
3.37,9,121.162,1v2u
3.38,22,348.14,2fzg
3.40,31,502.174,1bxr
